id_saham;code;nama;shares;sektor;highest_price
NULL;BBLD;Buana Finance Tbk.;1645796054;Financials;793274000000
NULL;BJBR;Bank Pembangunan Daerah Jawa B;10416229249;Financials;14114000000000
NULL;CAMP;Campina Ice Cream Industry Tbk;5885000000;Consumer Non-Cyclicals;1694880000000
NULL;MLIA;Mulia Industrindo Tbk;1323000000;Industrials;707805000000
NULL;MTFN;Capitalinc Investment Tbk.;31842082852;Energy;1592100000000
NULL;OMRE;Indonesia Prima Property Tbk;1745000000;Properties & Real Estate;841090000000
NULL;PGAS;Perusahaan Gas Negara Tbk.;24241508196;Energy;42543800000000
NULL;PPRO;PP Properti Tbk.;61675671883;Properties & Real Estate;3145460000000
NULL;STTP;Siantar Top Tbk.;1310000000;Consumer Non-Cyclicals;10021500000000
NULL;TAPG;Triputra Agro Persada Tbk.;19852540000;Consumer Non-Cyclicals;13003400000000
